,Student ID,First Faculty ID,Second Faculty ID,Third Faculty ID,Fourth Faculty ID
325,216,10,23,11,12
326,-----,-----,-----,-----,-----
327,219,4,2,23,21
328,286,18,13,1,16
329,275,9,6,20,19
330,-----,-----,-----,-----,-----
331,220,12,23,0,6
332,221,21,15,14,4
333,-----,-----,-----,-----,-----
334,222,13,16,9,4
335,73,19,8,1,12
336,-----,-----,-----,-----,-----
337,224,13,9,15,12
338,51,2,3,4,20
339,-----,-----,-----,-----,-----
340,230,16,15,11,8
341,231,12,23,20,0
342,-----,-----,-----,-----,-----
343,232,11,17,2,9
344,306,14,18,12,22
345,-----,-----,-----,-----,-----
346,233,3,22,1,17
347,342,23,19,5,4
348,-----,-----,-----,-----,-----
349,234,13,1,15,6
350,235,0,12,23,19
351,-----,-----,-----,-----,-----
352,236,9,8,17,2
353,237,5,21,15,22
354,-----,-----,-----,-----,-----
355,240,10,1,11,13
356,241,21,18,3,12
357,171,0,9,6,4
358,-----,-----,-----,-----,-----
359,242,19,22,12,17
360,-----,-----,-----,-----,-----
361,245,20,2,21,19
362,366,17,14,18,10
363,367,13,5,6,9
364,-----,-----,-----,-----,-----
365,246,4,1,14,11
366,1,21,8,0,10
367,-----,-----,-----,-----,-----
368,248,2,23,12,21
369,249,9,19,7,6
370,-----,-----,-----,-----,-----
371,251,3,18,21,6
372,-----,-----,-----,-----,-----
373,253,15,17,10,20
374,-----,-----,-----,-----,-----
375,254,10,19,8,0
376,255,3,6,11,20
377,-----,-----,-----,-----,-----
378,256,4,10,15,20
379,257,1,9,0,14
380,-----,-----,-----,-----,-----
381,258,11,14,20,18
382,259,23,16,21,1
383,-----,-----,-----,-----,-----
384,262,11,18,2,13
385,-----,-----,-----,-----,-----
386,263,6,8,13,17
387,103,15,16,1,11
388,11,20,3,19,9
389,-----,-----,-----,-----,-----
390,265,1,14,23,13
391,128,11,7,22,5
392,-----,-----,-----,-----,-----
393,266,23,14,20,21
394,267,15,18,5,9
395,-----,-----,-----,-----,-----
396,268,13,7,16,9
397,229,11,20,4,18
398,-----,-----,-----,-----,-----
399,270,20,3,1,18
400,186,5,23,21,4
401,-----,-----,-----,-----,-----
402,271,0,18,17,8
403,227,21,15,6,20
404,72,11,13,19,9
405,-----,-----,-----,-----,-----
406,278,19,8,0,12
407,279,6,21,22,14
408,-----,-----,-----,-----,-----
409,280,1,23,13,8
410,281,14,21,20,2
411,-----,-----,-----,-----,-----
412,287,15,17,16,12
413,78,21,18,1,7
414,-----,-----,-----,-----,-----
415,288,10,9,5,2
416,15,18,6,17,23
417,-----,-----,-----,-----,-----
418,289,12,14,5,22
419,76,3,23,16,17
420,54,11,6,15,20
421,-----,-----,-----,-----,-----
422,290,19,6,2,18
423,291,5,20,23,9
424,298,10,14,13,4
425,299,17,16,12,1
426,-----,-----,-----,-----,-----
427,292,19,5,18,8
428,293,6,0,15,11
429,-----,-----,-----,-----,-----
430,294,22,12,8,18
431,295,5,13,3,11
432,-----,-----,-----,-----,-----
433,296,15,19,13,22
434,297,14,5,12,6
435,107,0,16,4,10
